scores,identity,core_identity,surface_identity,similarity,core_similarity,surface_similarity
score12,0.30 ± 0.08,0.41 ± 0.14,0.29 ± 0.07,0.94 ± 0.52,1.60 ± 0.80,0.86 ± 0.47
talaris2013,0.35 ± 0.06,0.46 ± 0.12,0.33 ± 0.06,1.44 ± 0.39,1.90 ± 0.69,1.50 ± 0.43
beta_nov16,0.36 ± 0.06,0.42 ± 0.13,0.35 ± 0.05,1.55 ± 0.35,1.85 ± 0.70,1.61 ± 0.34
